source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_302.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_302.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_617.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_617.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_247.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_247.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_494.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_494.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_181.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_181.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_355.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_355.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_210.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_210.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_569.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_569.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_139.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_139.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_59.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_59.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_586.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_586.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_343.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_343.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_206.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_206.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_590.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_590.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_314.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_314.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_251.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_251.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_601.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_601.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_528.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_528.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_482.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_482.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_18.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_18.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_178.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_178.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_197.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_197.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_380.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_380.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_416.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_416.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_553.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_553.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_103.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_103.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_63.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_63.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_292.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_292.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_338.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_338.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_441.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_441.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_154.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_154.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_34.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_34.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_504.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_504.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_284.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_284.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_457.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_457.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_512.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_512.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_22.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_22.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_142.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_142.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_396.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_396.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_379.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_379.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_400.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_400.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_1.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_1.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_75.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_75.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_115.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_115.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_545.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_545.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_532.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_532.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_498.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_498.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_162.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_162.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_477.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_477.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_55.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_55.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_135.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_135.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_565.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_565.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_420.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_420.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_359.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_359.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_573.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_573.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_123.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_123.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_43.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_43.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_436.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_436.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_174.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_174.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_14.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_14.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_524.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_524.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_461.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_461.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_318.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_318.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_80.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_80.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_226.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_226.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_363.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_363.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_508.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_508.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_38.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_38.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_158.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_158.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_271.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_271.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_621.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_621.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_334.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_334.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_267.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_267.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_322.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_322.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_96.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_96.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_119.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_119.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_79.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_79.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d18_pull/2024m8d18_230.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d18_pull/tn_2024m8d18_230.jpg,MAKE,MADE
