source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_27.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_27.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_4.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_4.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_70.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_70.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_66.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_66.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_89.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_89.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_31.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_31.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_11.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_11.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_50.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_50.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_8.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_8.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_85.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_85.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_84.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_84.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_9.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_9.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_51.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_51.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_10.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_10.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_30.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_30.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_67.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_67.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_88.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_88.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_71.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_71.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_26.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_26.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_5.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_5.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_40.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_40.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_17.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_17.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_56.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_56.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_83.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_83.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_21.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_21.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_2.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_2.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_76.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_76.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_60.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_60.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_37.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_37.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_36.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_36.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_61.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_61.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_77.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_77.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_20.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_20.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_3.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_3.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_82.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_82.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_57.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_57.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_16.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_16.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_41.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_41.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_39.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_39.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_81.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_81.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_78.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_78.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m8/2024m8d21_pull/2024m8d21_54.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m8/tn_2024m8d21_pull/tn_2024m8d21_54.jpg,MAKE,MADE
