source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 92.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 92.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 111.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 111.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 84.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 84.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 107.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 107.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 10.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 10.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 6.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 6.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 47.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 47.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 51.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 51.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 71.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 71.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 26.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 26.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 30.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 30.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 67.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 67.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 88.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 88.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 127.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 127.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d7_pull/O_000 - 130.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d7_pull/tn_O_000 - 130.jpg,MAKE,MADE
