source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 143.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 143.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 114.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 114.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 102.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 102.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 155.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 155.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 71.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 71.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 26.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 26.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 179.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 179.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 30.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 30.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 180.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 180.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 4.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 4.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 67.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 67.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 88.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 88.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 138.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 138.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 10.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 10.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 118.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 118.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 47.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 47.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 51.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 51.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 159.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 159.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 92.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 92.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 122.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 122.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 175.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 175.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 8.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 8.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 163.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 163.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 134.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 134.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 84.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 84.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 135.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 135.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 85.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 85.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 9.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 9.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2024m5/2024m5d10_pull/0 - 162.HEIC,/Users/sebastianricketts/Desktop/LPB/2024m5/tn_2024m5d10_pull/tn_0 - 162.jpg,MAKE,MADE
