source,dest,action,note
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_133.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_133.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_67.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_67.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_88.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_88.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_164.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_164.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_30.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_30.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_1.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_1.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_172.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_172.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_26.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_26.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_125.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_125.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_71.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_71.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_277.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_277.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_109.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_109.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_220.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_220.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_236.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_236.jpg,MAKE,MADE
/Users/sebastianricketts/Desktop/LPB/2025m7/2025m7d19_pull/2025_M7_D19_148.heic,/Users/sebastianricketts/Desktop/LPB/2025m7/tn_2025m7d19_pull/tn_2025_M7_D19_148.jpg,MAKE,MADE
